word,count
SONA , 65
THE , 55
RT , 53
TO , 36
SA , 34
OF , 30
ANG , 20
NA , 19
NG , 14
AND , 14
5TH , 13
MGA , 12
IN , 11
FOR , 11
DUTERTES , 10
DUTERTE , 10
WE , 9
WITH , 8
PRESIDENT , 8
MY , 8
THIS , 7
THAT , 7
NI , 7
COVID19 , 7
2020 , 7
MAY , 6
I , 6
AMP; , 6
A , 6
UP , 5
TAG , 5
PA , 5
ON , 5
IS , 5
HIS , 5
YUNG , 4
YOU , 4
YA , 4
WAY , 4
THEY , 4
STUDENT , 4
STATE , 4
SONA2020 , 4
SI , 4
RODRIGO , 4
ROA , 4
RIN , 4
PRES , 4
KO , 4
KA , 4
FIRST , 4
DI , 4
WOULD , 3
THA , 3
SONAGKAISA , 3
SILA , 3
RAPPLERDOTCOM: , 3
PRESS , 3
OWN , 3
ONE , 3
NAMAN , 3
ME , 3
LIKE , 3
LANG , 3
KHARAASONA , 3
ITS , 3
IF , 3
HIM , 3
HER , 3
GLOBE , 3
FROM , 3
EVERYONE , 3
DURING , 3
DAPAT , 3
COUNCIL , 3
CONGRESS , 3
BEFORE , 3
AT , 3
ARAW , 3
【ジェジュン】 , 2
| , 2
ZUBIRI , 2
YOUR , 2
WONT , 2
WHY , 2
WHICH , 2
WHAT , 2
WERE , 2
WAS , 2
WAR , 2
WALANG , 2
WAKASONA2020 , 2
WAG , 2
VALIMAI , 2
UPDATE , 2
TWEET , 2
TOWERNAMBA: , 2
TOTALLY , 2
TIME , 2
THROUGH , 2
THALAAJITHFC , 2
THALAAJITH , 2
TEST , 2
TE , 2
TAYONG , 2
TAYO , 2
TAPOS , 2
STEP , 2
SIYA , 2
SHARES , 2
SENATE , 2
SAME , 2
SAID , 2
SABI , 2
SAAN , 2
RIGHTS , 2
RESPONSE , 2
REQUEST , 2
RELATED , 2
REAPERSZN , 2
REACT , 2
REACH , 2
QUE , 2
PROVIDED , 2
PROTESTA , 2
PROTEST , 2
PRESIDENTS , 2
POSTSONA , 2
PLEASE , 2
PERSONA , 2
PERO , 2
PASSAGE , 2
PARA , 2
PANGULO , 2
PANDEMIC , 2
PALA , 2
PAGE , 2
OUR , 2
ONLY , 2
OFWS , 2
NO , 2
NGAYONG , 2
NEW , 2
NATION , 2
NANGA , 2
NAKITA , 2
NADINE , 2
MUJHE , 2
MESSAGE , 2
MATAPOS , 2
MARACEPEDA , 2
MABUTI , 2
LOOK: , 2
LEADER , 2
LAW , 2
LA , 2
KUNG , 2
KU , 2
KATRINADOMINGO , 2
KAR , 2
KANYANG , 2
KACHRA , 2
HUMAN , 2
HOGA , 2
HINDI , 2
HERE , 2
HELD , 2
HEALTH , 2
HE , 2
HAVE , 2
HA , 2
GROUPS , 2
GOVERNMENTS , 2
GMANEWS: , 2
GIVE , 2
GET , 2
F… , 2
FRANKLIN , 2
FC , 2
FANS , 2
EXECUTIVE , 2
EVEN , 2
EARLIER , 2
DRILON , 2
DONT , 2
DISCUSSIONS , 2
DILIMAN , 2
COVID , 2
COVERS , 2
CNNPHILIPPINES: , 2
CLEAR , 2
CAN , 2
BUT , 2
BILLS , 2
BHAI , 2
BE , 2
BAYANIHAN , 2
BA , 2
AS , 2
ANCALERTS: , 2
ALSO , 2
AKO , 2
AJITHKUMAR , 2
AGAINST , 2
AGAIN , 2
AFTERNOON , 2
AFTER , 2
ACT , 2
ABOUT , 2
5 , 2
21 , 2
 , 2
🥺 , 1
🤷‍♀️ , 1
🤭✊ , 1
🙂 , 1
😯😯 , 1
😭😭 , 1
😜 , 1
😌 , 1
😊 , 1
😅 , 1
😂😂😂 , 1
😂😂 , 1
😁 , 1
🎁タワレコ特典はアナザージャ… , 1
表紙は , 1
嫌いなジャ… , 1
原曲の良さをひきたてるだけでなく、ジェジュンらしさも全開のアルバムです♪ , 1
三浦春馬 , 1
ツアー映像『JJUN , 1
ソウルでの独占インタビュー＆美麗写真をお見逃しなく , 1
ジェジュン , 1
カバーアルバム『LOVE , 1
さんが本誌に見せてくれた素顔の数々をグラビアで振り返ります。毎年恒例「好きなジャニーズ , 1
さん☆ , 1
おちつきましｳﾞｵｵｵｵｪｱｱｱ , 1
【ジェジュン】大ヒットしたカバーアルバムの第2弾「LOVE , 1
『週刊女性』8/4/11合併号が好評発売中！ , 1
Ⅱ』本日入荷しました🙌 , 1
… , 1
“WALANG , 1
“HINDI , 1
^^ , 1
\ジェジュンの優しく、深い歌声がしみわたる/ , 1
\カバーアルバムを引っさげたツアー映像🎥/ , 1
ZOOM , 1
ZEROHUMOUR , 1
YOUTUBE , 1
YOURSELVES , 1
YONG , 1
YO , 1
YESTERDAYS , 1
YES , 1
YEARS , 1
YEAR , 1
YARU , 1
YAN , 1
Y , 1
WPS , 1
WORKERS , 1
WORKER , 1
WORKED , 1
WOOO , 1
WOMEN , 1
WOKES , 1
WITHOUT , 1
WIL… , 1
WILL , 1
WHOLE , 1
WHO , 1
WHILE , 1
WATCHMEJAYJAY: , 1
WATCHING , 1
WATCHED , 1
WATCH , 1
WAS… , 1
WAGE , 1
W/ , 1
VP , 1
